,feature,importance_gain,importance_split,trn_score,run
0,NAME_CONTRACT_TYPE,212.86800932884216,23,0.7123006487350567,1
1,CODE_GENDER,396.35737988352776,75,0.7123006487350567,1
2,FLAG_OWN_CAR,202.59432935714722,39,0.7123006487350567,1
3,FLAG_OWN_REALTY,539.3843669891357,75,0.7123006487350567,1
4,CNT_CHILDREN,546.8667356669903,63,0.7123006487350567,1
5,AMT_INCOME_TOTAL,6091.1789483726025,637,0.7123006487350567,1
6,AMT_CREDIT,5635.991201907396,624,0.7123006487350567,1
7,AMT_ANNUITY,7298.325660228729,725,0.7123006487350567,1
8,AMT_GOODS_PRICE,4784.024313300848,479,0.7123006487350567,1
9,NAME_TYPE_SUITE,477.35644245147705,54,0.7123006487350567,1
10,NAME_INCOME_TYPE,73.94897127151489,8,0.7123006487350567,1
11,NAME_EDUCATION_TYPE,150.95027017593384,17,0.7123006487350567,1
12,NAME_FAMILY_STATUS,424.64118003845215,48,0.7123006487350567,1
13,NAME_HOUSING_TYPE,299.14150881767273,36,0.7123006487350567,1
14,REGION_POPULATION_RELATIVE,5353.719277411699,520,0.7123006487350567,1
15,DAYS_BIRTH,8003.627427995205,808,0.7123006487350567,1
16,DAYS_EMPLOYED,7653.13144159317,765,0.7123006487350567,1
17,DAYS_REGISTRATION,8076.067216485739,800,0.7123006487350567,1
18,DAYS_ID_PUBLISH,8856.5209903121,868,0.7123006487350567,1
19,OWN_CAR_AGE,4730.195247143507,462,0.7123006487350567,1
20,FLAG_MOBIL,0.0,0,0.7123006487350567,1
21,FLAG_EMP_PHONE,64.9435887336731,7,0.7123006487350567,1
22,FLAG_WORK_PHONE,415.7792010307312,39,0.7123006487350567,1
23,FLAG_CONT_MOBILE,0.0,0,0.7123006487350567,1
24,FLAG_PHONE,418.6284817457199,46,0.7123006487350567,1
25,FLAG_EMAIL,389.78393030166626,36,0.7123006487350567,1
26,OCCUPATION_TYPE,4424.6561641693115,426,0.7123006487350567,1
27,CNT_FAM_MEMBERS,878.49505469203,96,0.7123006487350567,1
28,REGION_RATING_CLIENT,317.3196893930435,39,0.7123006487350567,1
29,REGION_RATING_CLIENT_W_CITY,325.5959894657135,39,0.7123006487350567,1
30,WEEKDAY_APPR_PROCESS_START,1287.9925727844238,133,0.7123006487350567,1
31,HOUR_APPR_PROCESS_START,3655.543437898159,357,0.7123006487350567,1
32,REG_REGION_NOT_LIVE_REGION,276.5027594566345,27,0.7123006487350567,1
33,REG_REGION_NOT_WORK_REGION,284.0689207315445,32,0.7123006487350567,1
34,LIVE_REGION_NOT_WORK_REGION,357.498743057251,36,0.7123006487350567,1
35,REG_CITY_NOT_LIVE_CITY,260.2103717327118,29,0.7123006487350567,1
36,REG_CITY_NOT_WORK_CITY,384.6511902809143,36,0.7123006487350567,1
37,LIVE_CITY_NOT_WORK_CITY,265.7950782775879,27,0.7123006487350567,1
38,ORGANIZATION_TYPE,12541.91545534134,917,0.7123006487350567,1
39,EXT_SOURCE_1,8888.279224783182,868,0.7123006487350567,1
40,EXT_SOURCE_2,8391.231123149395,812,0.7123006487350567,1
41,EXT_SOURCE_3,11550.327659398317,1107,0.7123006487350567,1
42,APARTMENTS_AVG,3502.74685049057,326,0.7123006487350567,1
43,BASEMENTAREA_AVG,3850.8730922341347,388,0.7123006487350567,1
44,YEARS_BEGINEXPLUATATION_AVG,3773.135711491108,359,0.7123006487350567,1
45,YEARS_BUILD_AVG,3490.4452427625656,323,0.7123006487350567,1
46,COMMONAREA_AVG,3781.642391741276,354,0.7123006487350567,1
47,ELEVATORS_AVG,1183.1414247751236,107,0.7123006487350567,1
48,ENTRANCES_AVG,2360.7579642534256,218,0.7123006487350567,1
49,FLOORSMAX_AVG,1201.6645066738129,108,0.7123006487350567,1
50,FLOORSMIN_AVG,1553.0078675746918,151,0.7123006487350567,1
51,LANDAREA_AVG,4686.467653691769,438,0.7123006487350567,1
52,LIVINGAPARTMENTS_AVG,2682.6720594763756,234,0.7123006487350567,1
53,LIVINGAREA_AVG,2901.1106131076813,260,0.7123006487350567,1
54,NONLIVINGAPARTMENTS_AVG,1533.4965351223946,153,0.7123006487350567,1
55,NONLIVINGAREA_AVG,3725.324086368084,338,0.7123006487350567,1
56,APARTMENTS_MODE,3026.9084953665733,290,0.7123006487350567,1
57,BASEMENTAREA_MODE,3488.311698257923,300,0.7123006487350567,1
58,YEARS_BEGINEXPLUATATION_MODE,3545.5022695064545,311,0.7123006487350567,1
59,YEARS_BUILD_MODE,2198.7247982025146,210,0.7123006487350567,1
60,COMMONAREA_MODE,3905.887210726738,360,0.7123006487350567,1
61,ELEVATORS_MODE,1223.2524194717407,110,0.7123006487350567,1
62,ENTRANCES_MODE,1283.8271956443787,118,0.7123006487350567,1
63,FLOORSMAX_MODE,702.1780762672424,65,0.7123006487350567,1
64,FLOORSMIN_MODE,929.7696624994278,85,0.7123006487350567,1
65,LANDAREA_MODE,4018.231211602688,367,0.7123006487350567,1
66,LIVINGAPARTMENTS_MODE,3228.1954761743546,296,0.7123006487350567,1
67,LIVINGAREA_MODE,2972.229698419571,272,0.7123006487350567,1
68,NONLIVINGAPARTMENTS_MODE,1215.5508593320847,113,0.7123006487350567,1
69,NONLIVINGAREA_MODE,3727.886043190956,324,0.7123006487350567,1
70,APARTMENTS_MEDI,1848.8568684458733,162,0.7123006487350567,1
71,BASEMENTAREA_MEDI,2423.8836785554886,213,0.7123006487350567,1
72,YEARS_BEGINEXPLUATATION_MEDI,2174.270544528961,202,0.7123006487350567,1
