,feature,importance_gain,importance_split,trn_score
89,OBS_30_CNT_SOCIAL_CIRCLE,2542.901867866516,120,0.7573162928297977
90,DEF_30_CNT_SOCIAL_CIRCLE,4206.655444145203,179,0.7573162928297977
91,OBS_60_CNT_SOCIAL_CIRCLE,1949.822699546814,89,0.7573162928297977
92,DEF_60_CNT_SOCIAL_CIRCLE,3462.98929977417,146,0.7573162928297977
93,DAYS_LAST_PHONE_CHANGE,23017.59743499756,661,0.7573162928297977
94,FLAG_DOCUMENT_2,0.0,0,0.7573162928297977
95,FLAG_DOCUMENT_3,16839.00583267212,368,0.7573162928297977
96,FLAG_DOCUMENT_4,0.0,0,0.7573162928297977
97,FLAG_DOCUMENT_5,205.96850204467773,7,0.7573162928297977
98,FLAG_DOCUMENT_6,135.14840126037598,6,0.7573162928297977
99,FLAG_DOCUMENT_7,0.0,0,0.7573162928297977
100,FLAG_DOCUMENT_8,603.3237981796265,23,0.7573162928297977
101,FLAG_DOCUMENT_9,0.0,0,0.7573162928297977
102,FLAG_DOCUMENT_10,0.0,0,0.7573162928297977
103,FLAG_DOCUMENT_11,0.0,0,0.7573162928297977
104,FLAG_DOCUMENT_12,0.0,0,0.7573162928297977
105,FLAG_DOCUMENT_13,0.0,0,0.7573162928297977
106,FLAG_DOCUMENT_14,0.0,0,0.7573162928297977
107,FLAG_DOCUMENT_15,0.0,0,0.7573162928297977
108,FLAG_DOCUMENT_16,73.43510055541992,2,0.7573162928297977
109,FLAG_DOCUMENT_17,0.0,0,0.7573162928297977
110,FLAG_DOCUMENT_18,0.0,0,0.7573162928297977
111,FLAG_DOCUMENT_19,0.0,0,0.7573162928297977
112,FLAG_DOCUMENT_20,0.0,0,0.7573162928297977
113,FLAG_DOCUMENT_21,0.0,0,0.7573162928297977
114,AMT_REQ_CREDIT_BUREAU_HOUR,535.8547019958496,17,0.7573162928297977
115,AMT_REQ_CREDIT_BUREAU_DAY,310.2696008682251,15,0.7573162928297977
116,AMT_REQ_CREDIT_BUREAU_WEEK,549.726900100708,21,0.7573162928297977
117,AMT_REQ_CREDIT_BUREAU_MON,1325.7299151420593,57,0.7573162928297977
118,AMT_REQ_CREDIT_BUREAU_QRT,1436.7035932540894,60,0.7573162928297977
119,AMT_REQ_CREDIT_BUREAU_YEAR,7782.794457912445,325,0.7573162928297977
